twp_id,name,coords
4311,Twone Mbee Muselele Well 1 - 4311,"(37.52598, -2.01797)"
4313,Kiluta Well 1 - 4313,"(37.51556, -1.9532099999999997)"
4867,Kakwa Well 1 - 4867,"(37.49587999999999, -1.90296)"
4820,Nyeki Ndune - 4820,"(37.95218, -2.3291699999999995)"
4489,Mbindi Hand-Dug Well 1 - 4489,"(37.05167, -1.50314)"
4634,Kyangundi Well 1 - 4634,"(37.462730000000015, -1.6100100000000093)"
4495,Kyeni kya Karuri Well 1 - 4495,"(38.1061, -0.77635)"
4477,Kyusyani Hand-Dug Well - 4477,"(38.09136000000001, -0.9803999999999976)"
4865,Katalwa Twooka Oyu Well 1 - 4865,"(38.11284, -1.02828)"
4499,Decommissioned 2020 - Kumina Waoni Well 1 - 4499,"(38.02179999, -2.329472222000081)"
4822,Mbaa Ngoka Well - 4822,"(37.7748, -1.95499)"
4785,Kithito Andu Akuu Ngaa Well 1 - 4785,"(37.5174, -1.59319)"
4793,Katalwa Jipe Moyo Well 1 - 4793,"(38.1109, -1.02015)"
4496,Tei wa Nzung'u Hand-Dug Well - 4496,"(38.11772199999999, -0.76058)"
4789,Twone Mbee Muselele Well 3 - 4789,"(37.4905367, -2.0158279)"
4498,Wasya Wa Athi Hand-Dug Well 2 - 4498,"(37.86455000000001, -1.865420000000011)"
4819,Vinya wa Kyangwasi Well - 4819,"(37.81799999999999, -1.8816900000000003)"
4795,Kyeni kya Karuri Well 3 - 4795,"(38.11078, -0.77642)"
4478,Decommissioned 2020 - Kyeni kya Maluini Well 1 - 4478,"(37.67937999999999, -1.5885300000000175)"
4777,Decommissioned 2024 - Mbindi Hand-Dug Well 2 - 4777,"(37.35325, -1.4986399999999998)"
4783,Tei wa Nzung'u Well 2 - 4783,"(38.11502, -0.75634)"
4454,Munyuni Hand-Dug Well - 4454,"(37.83807, -1.87035)"
4479,Kyambilu Well 1 - 4479,"(38.12264, -0.961170000000005)"
4316,Nzalu Hand-Dug Well - 4316,"(37.54999999999999, -1.6399999999999997)"
4491,Decommissioned 2020 - Wikwatyo wa Mutula Hand-Dug Well - 4491,"(37.65299000000001, -1.5997400000000617)"
18218,Decommissioned 2023 - Kwa Kituuti Ntheketha Hand-Dug Well - 18218,"(37.30467, -1.72403)"
18219,Kwa Mbunza Hand-Dug Well - 18219,"(38.07756, -0.79109)"
18308,Nziu Munyu Hand-Dug Well - 18308,"(38.06182, -1.06907)"
18227,Kinyenyoni Kakuswi Hand-Dug Well 2 - 18227,"(37.51781999999999, -1.56012)"
18209,Decommissioned 2024 - Ndinesi Uu Hand-Dug Well 2 - 18209,"(38.02621, -0.78654)"
18223,Mwanyani Hand-Dug Well 3 - 18223,"(37.41598, -1.4328799999999997)"
18226,Mitini Hand-Dug Well 2 - 18226,"(37.404590000000006, -1.4192)"
18207,Masola Kaani Hand-Dug Well 3 - 18207,"(37.34868, -1.5267000000000002)"
18216,Kithangaini Kithuluni Atui Hand-Dug Well 2 - 18216,"(37.37216, -1.49956)"
18228,Kakwa Hand-Dug Well 2 - 18228,"(37.95889999999999, -1.4892)"
18222,Kiluta Hand-Dug Well 3 - 18222,"(37.5102, -1.95265)"
19211,Decommissioned 2024 - Kwa Mbunza Hand-Dug Well 2 - 19211,"(38.07580999999999, -0.7915699999999999)"
19212,Ndithi Tuinuke Hand-Dug Well 1 - 19212,"(38.14052, -0.7739399999999999)"
19210,Yangondi Hand-Dug Well 2 - 19210,"(38.06701, -1.06094)"
19214,Muka Hand-Dug Well 1 - 19214,"(37.53170000000001, -1.5588999999999995)"
19215,Ivumbu Irrigation Hand-Dug Well 1 - 19215,"(37.30038, -1.60957)"
19213,Ukava Wa Kithoni Hand-Dug Well 1 - 19213,"(37.70093, -2.0106199999999994)"
19216,Ngwatanio Ya Utui wa Maluvyu Hand-Dug Well 4 - 19216,"(37.73148629, -1.99401988)"
20999,Isunguluni Mutomo Well 2a - 20999,"(38.08024499999999, -2.6305399999999994)"
19227,Kwa Kituuti Ntheketha Earth Dam SHG Well - 19227,"(37.31220999999999, -1.7250899999999998)"
19232,Kwa Kalekye SHG Well - 19232,"(37.33411999999999, -1.51947)"
19228,Nduti SHG Well - 19228,"(37.51801999999999, -1.8319)"
19233,Kakwa SHG Well - 19233,"(37.30796, -1.9113)"
19219,Kwa Mungoli SHG Shallow Well - 19219,"(37.53756, -1.99013)"
19217,Mukuku SHG Shallow Well - 19217,"(37.61671, -1.56657)"
19220,Kianguni SHG Well - 19220,"(37.56932, -1.5714)"
19234, Kalawa People Living with HIV SHG Well 1 - 19234,"(38.03435, -0.74902)"
19225,Ngwatanio Ya Kinyongo SHG Well - 19225,"(37.50398, -1.58887)"
19218,Decommissioned 2023 - Kyeni Kya Ngungani SHG Shallow Well - 19218,"(37.73167999999999, -0.9904)"
19231,Syiluluku RC SHG Well 1 - 19231,"(38.17984, -0.7756500000000001)"
19226,Kinyenyoni Kikuswi SHG Well - 19226,"(37.5144, -1.56611)"
19224,Mung'alu SHG Well - 19224,"(38.07367, -1.06037)"
19229,Nzighi Masaki SHG Well -19229,"(38.1025, -0.81807)"
19223,Kamulo SHG Well - 19223,"(38.03542, -0.9525)"
19221,Kangalu Chanuka SHG Well 1 - 19221,"(38.01788, -0.98877)"
19230,Makasini SHG Well - 19230,"(38.07692, -1.08446)"
20303,Kasilu Well - 20303,"(37.99672, -0.55871)"
20301,Kamami Well - 20301,"(38.0081, -0.551111)"
20307,Mathyakani Well - 20307,"(37.97508, -1.0403099999999998)"
20305,Muka Well - 20305,"(37.52579999999999, -1.5577799999999995)"
20317,Wathanaa SHG Well 1 - 20317,"(37.47791999999999, -1.88179)"
4899,Decommissioned 2022 - Kithaayoni well 3 - 4899,"(37.84123, -1.89679)"
20311,Katambu SHG Well - 20311,"(38.06595, -1.08682)"
20323,Nduti SHG Well - 20323,"(37.88025, -1.1609279999999995)"
21411,Lenza Mukunyuni Well - 21411,"(38.04508, -1.02086)"
21415,Kwa Mbunza Well 3 - 21415,"(38.07444, -0.79101)"
21407,Kakwa Well 4 - 21407,"(37.50731999999999, -1.83217)"
21413,Katothya Well - 21413,"(37.60627, -1.45504)"
21409,Ndithi Tuinuke Well 2 - 21409,"(38.1409, -0.77978)"
21405,Kalawa People Living with HIV Well 2 - 21405,"(37.73212, -1.6460399999999995)"
21435,Wikwatyo Wa Kasunguni Well - 21435,"(37.62508999999999, -1.4962299999999995)"
21423,Botela Women Well - 21423,"(37.63734, -1.48314)"
21403,Syiluluku RC Well 2 - 21403,"(38.18422, -0.77802)"
21401,Kangalu Chanuka Well 2 - 21401,"(38.02074, -0.986)"
21421,Maluti Women Well 1 - 21421,"(37.606965, -1.4076669999999998)"
20993,Kyeni Kya Mukuku SHG - 20993,"(37.61615499999999, -1.5662320000000045)"
20997,Kavili SHG Well - 20997,"(37.620587, -1.488305000000001)"
20996,Wangu Youth Group Well - 20996,"(38.19593299999999, -2.365550000000008)"
21437,Ivumbu Irrigation Well 2 - 21437,"(37.50534999999999, -1.60726)"
21429,Kyeni Kya Kiianzou Well - 21429,"(37.34897999999999, -1.7330799999999995)"
21427,Kasilu Well 2 - 21427,"(37.99208, -0.56213)"
20994,Kyeni Kya Mukononi Well - 20994,"(37.94953700000001, -2.258722)"
21441,Yanzoi Maithya Well - 21441,"(38.08238999999999, -1.12069)"
21417,Mung'alu Women's Well 2 - 21417,"(38.07296999999999, -1.0638899999999998)"
22511,Kyeni Kya Nthonzweni Well - 22511,"(37.524212, -1.8527670000000005)"
22513,Kivai Kimwatho SHG Well - 22513,"(37.359263, -1.737522)"
22521,Kalawa People Living With HIV Well 3  - 22521,"(37.742371, -1.652446)"
22507,Mukikanda SHG Well 1 - 22507,"(38.1465, -0.5577499999999999)"
21433,Nduti Well 3  - 21433,"(37.888025, -1.1609279999999995)"
21439,Kwa Kalekye Well 2 - 21439,"(37.34351635, -1.523808579)"
22509,Kyeni Kya Kanyoeni SHG Well 1 - 22509,"(37.96598, -0.5861399999999999)"
22525,Botela Women SHG Well 2 - 22525,"(37.6432933, -1.4845105)"
22517,Usingilaa SHG Well - 22517,"(38.0131, -0.683668333)"
22523,Katothya Well 2 - 22523,"(37.6077382, -1.4461932999999998)"
22505,Kiliku SHG Well 1 - 22505,"(38.141036667, -0.6998233329999999)"
22527,Wikwatyo Wa Kasunguni SHG Well 2 - 22527,"(37.62441669999999, -1.5018899999999995)"
22531,Kasilu SHG Well 3 - 22531,"(37.99252, -0.56111)"
22545,Ilalu New Foundation SHG Well 1 - 22545,"(38.04742665999999, -1.07795333)"
22535,Kyeni Kya Kiia Nzou SHG Well 2 - 22535,"(37.3436928, -1.7358656999999995)"
22515,Utethyo Wa Kaghui Well 1 - 22515,"(38.193355, -0.6838529999999999)"
22537,Wathana SHG Well 3 - 22537,"(37.4805517, -1.8932567)"
22543,Wendo Makiioni SHG Well 1 - 22543,"(38.007273, -0.734355)"
22501,Ndithi Tuinuke SHG Well 3 - 22501,"(38.14046, -0.77895)"
22533,Kamami SHG Well 3 - 22533,"(37.99379, -0.5429599999999999)"
22529,Kiisu SHG Well - 22529,"(38.29457, -0.7801199999999999)"
23605,Lenza Mukuyuni Well 3 - 23605,"(38.04230999999999, -1.02374)"
23609,Muthungue Women Group Well 1 - 23609,"(38.0288931, -0.5499805)"
23601,Kwa Kisukio Muthini Well 1 - 23601,"(38.041522, -1.030828)"
23613,Kaliluni Mtunze Punda Women SHG Well - 23613,"(37.99005939999999, -1.0807055000000003)"
23621,Muuo Wa Ngutho SHG Well 1 - 23621,"(37.97849, -1.08087)"
23611,Tulanduli Sleepers SHG Well 1 - 23611,"(38.159723333, -0.6912083329999998)"
23615,Kalinza SHG Well - 23615,"(37.9706874, -1.1136806)"
23607,Itinda Well 1 - 23607,"(38.06510999999999, -0.57219)"
23603,Kwa Lila SHG Well - 23603,"(38.0386633, -1.0477257)"
23625,Amani Kaliluni Women Group SHG Well - 23625,"(37.9850137, -1.0761142999999995)"
23637,Kaliluni Universal SHG Well - 23637,"(37.99386166666666, -1.0925783333333332)"
23641,Kilela SHG Well - 23641,"(37.965036, -1.05816833)"
23629,Kyeni Kya Kanyoeni SHG Well 2 - 23629,"(37.974761666666666, -0.5774316666666667)"
23619,Ngungani Horticulture SHG Well - 23619,"(37.9595714, -0.6357117)"
23617,Tondora Umoja SHG Well - 23617,"(37.94642, -0.65074)"
23639,Botela Women Well 3 - 23639,"(37.6451519, -1.483517)"
440002,Museesu SHG Well 1 - 440002,"(38.0345531, -0.6593904)"
440014,Makulini SHG Well 1 - 440014,"(38.0512334, -0.6339388)"
440010,Katavui SHG Well 1 - 440010,"(37.98876, -1.089823333)"
440006,Faithful Sisters SHG Well 1 - 440006,"(38.012921667, -1.1175066669999998)"
440008,Mivau SHG Well 1 - 440008,"(37.979591667, -1.136853333)"
440004,Nzakya SHG Well - 440004,"(38.0110929, -1.1355066)"
23627,Makoko Farmers Field and Life SHG Well - 23627,"(38.041171667, -0.6642366669999998)"
440050,Wikwatyo wa Ithengeli Well 1 - 440050,"(38.12240679999999, -1.1130847999999998)"
440028,Lenza Mukuyuni Well 4 - 440028,"(38.0461131, -1.0170222999999998)"
440016,Itinda SHG Well 1 - 440016,"(38.0651159, -0.5743868)"
440012,Kwa Kisukio Muthini SHG Well 2 - 440012,"(38.03345519999999, -1.0332821)"
440082,Kamunyu Mutwasya River SHG Well - 440082,"(38.032395, -1.0122369999999998)"
440048,Kathambu SHG Well 1 - 440048,"(38.0527376, -1.0799643999999995)"
440024,Kilela SHG Well 2 - 440024,"(37.968023, -1.0706566999999998)"
440018,Amani Kaliluni Women's SHG Well 2 - 440018,"(37.98043179999999, -1.0780385)"
440022,Muuo Wa Ngutho SHG Well 2 - 440022,"(37.98067669999999, -1.0841733)"
440020,Kaliluni Universal SHG Well 2 - 440020,"(37.9930064, -1.0912593)"
